country_name_short,election_date,start_date,cabinet_name,caretaker,cabinet_party,prime_minister,seats,election_seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,cabinet_id,previous_cabinet_id,party_id
AUS,1975-12-13,1975-12-22,Fraser II,0,0,0,36,127,ALP,Australian Labor Party,Australian Labor Party,3.1,33,155,836,720,1253
AUS,1975-12-13,1975-12-22,Fraser II,0,1,1,68,127,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,155,836,720,1411
AUS,1975-12-13,1975-12-22,Fraser II,0,1,0,23,127,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,155,836,720,184
AUS,1977-12-10,1977-12-20,Fraser III,0,0,0,38,124,ALP,Australian Labor Party,Australian Labor Party,3.1,33,170,421,836,1253
AUS,1977-12-10,1977-12-20,Fraser III,0,1,1,67,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,170,421,836,1411
AUS,1977-12-10,1977-12-20,Fraser III,0,1,0,19,124,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,170,421,836,184
AUS,1980-10-18,1980-11-03,Fraser IV,0,0,0,51,125,ALP,Australian Labor Party,Australian Labor Party,3.1,33,154,774,421,1253
AUS,1980-10-18,1980-11-03,Fraser IV,0,1,1,54,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,154,774,421,1411
AUS,1980-10-18,1980-11-03,Fraser IV,0,1,0,20,125,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,154,774,421,184
AUS,1983-03-05,1983-03-11,Hawke I,0,1,1,75,125,ALP,Australian Labor Party,Australian Labor Party,3.1,33,343,576,774,1253
AUS,1983-03-05,1983-03-11,Hawke I,0,0,0,33,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,343,576,774,1411
AUS,1983-03-05,1983-03-11,Hawke I,0,0,0,17,125,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,343,576,774,184
AUS,1984-12-01,1984-12-13,Hawke II,0,1,1,82,148,ALP,Australian Labor Party,Australian Labor Party,3.1,33,186,401,576,1253
AUS,1984-12-01,1984-12-13,Hawke II,0,0,0,45,148,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,186,401,576,1411
AUS,1984-12-01,1984-12-13,Hawke II,0,0,0,21,148,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,186,401,576,184
AUS,1987-07-11,1987-07-24,Hawke III,0,1,1,86,148,ALP,Australian Labor Party,Australian Labor Party,3.1,33,542,875,401,1253
AUS,1987-07-11,1987-07-24,Hawke III,0,0,0,43,148,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,542,875,401,1411
AUS,1987-07-11,1987-07-24,Hawke III,0,0,0,19,148,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,542,875,401,184
AUS,1990-03-24,1990-04-04,Hawke IV,0,1,1,78,148,ALP,Australian Labor Party,Australian Labor Party,3.1,33,649,155,875,1253
AUS,1990-03-24,1990-04-04,Hawke IV,0,0,0,55,148,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,649,155,875,1411
AUS,1990-03-24,1990-04-04,Hawke IV,0,0,0,14,148,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,649,155,875,184
AUS,1990-03-24,1990-04-04,Hawke IV,0,0,0,1,148,none,no party affiliation,no party affiliation,,33,649,155,875,1396
AUS,1990-03-24,1991-12-20,Keating I,0,1,1,78,148,ALP,Australian Labor Party,Australian Labor Party,3.1,33,649,725,155,1253
AUS,1990-03-24,1991-12-20,Keating I,0,0,0,55,148,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,649,725,155,1411
AUS,1990-03-24,1991-12-20,Keating I,0,0,0,14,148,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,649,725,155,184
AUS,1990-03-24,1991-12-20,Keating I,0,0,0,1,148,none,no party affiliation,no party affiliation,,33,649,725,155,1396
AUS,1993-03-13,1993-03-24,Keating II,0,1,1,80,147,ALP,Australian Labor Party,Australian Labor Party,3.1,33,362,49,725,1253
AUS,1993-03-13,1993-03-24,Keating II,0,0,0,49,147,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,362,49,725,1411
AUS,1993-03-13,1993-03-24,Keating II,0,0,0,16,147,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,362,49,725,184
AUS,1993-03-13,1993-03-24,Keating II,0,0,0,2,147,none,no party affiliation,no party affiliation,,33,362,49,725,1396
AUS,1996-03-02,1996-03-11,Howard I,0,0,0,49,148,ALP,Australian Labor Party,Australian Labor Party,3.1,33,300,402,49,1253
AUS,1996-03-02,1996-03-11,Howard I,0,1,1,76,148,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,300,402,49,1411
AUS,1996-03-02,1996-03-11,Howard I,0,1,0,18,148,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,300,402,49,184
AUS,1996-03-02,1996-03-11,Howard I,0,0,0,5,148,none,no party affiliation,no party affiliation,,33,300,402,49,1396
AUS,1998-10-03,1998-10-21,Howard II,0,0,0,67,148,ALP,Australian Labor Party,Australian Labor Party,3.1,33,209,423,402,1253
AUS,1998-10-03,1998-10-21,Howard II,0,1,1,64,148,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,209,423,402,1411
AUS,1998-10-03,1998-10-21,Howard II,0,1,0,16,148,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,209,423,402,184
AUS,1998-10-03,1998-10-21,Howard II,0,0,0,1,148,none,no party affiliation,no party affiliation,,33,209,423,402,1396
AUS,2001-11-10,2001-11-26,Howard III,0,0,0,65,150,ALP,Australian Labor Party,Australian Labor Party,3.1,33,388,812,423,1253
AUS,2001-11-10,2001-11-26,Howard III,0,1,1,69,150,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,388,812,423,1411
AUS,2001-11-10,2001-11-26,Howard III,0,1,0,13,150,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,388,812,423,184
AUS,2001-11-10,2001-11-26,Howard III,0,0,0,3,150,none,no party affiliation,no party affiliation,,33,388,812,423,1396
AUS,2004-10-09,2004-10-26,Howard IV,0,0,0,60,150,ALP,Australian Labor Party,Australian Labor Party,3.1,33,148,234,812,1253
AUS,2004-10-09,2004-10-26,Howard IV,0,0,0,1,150,CLP,Country Liberal Party,Country Liberal Party,,33,148,234,812,215
AUS,2004-10-09,2004-10-26,Howard IV,0,1,1,74,150,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,148,234,812,1411
AUS,2004-10-09,2004-10-26,Howard IV,0,1,0,12,150,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,148,234,812,184
AUS,2004-10-09,2004-10-26,Howard IV,0,0,0,3,150,none,no party affiliation,no party affiliation,,33,148,234,812,1396
AUS,2007-11-24,2007-12-03,Rudd,0,1,1,85,150,ALP,Australian Labor Party,Australian Labor Party,3.1,33,110,385,234,1253
AUS,2007-11-24,2007-12-03,Rudd,0,0,0,53,150,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,110,385,234,1411
AUS,2007-11-24,2007-12-03,Rudd,0,0,0,10,150,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,110,385,234,184
AUS,2007-11-24,2007-12-03,Rudd,0,0,0,2,150,none,no party affiliation,no party affiliation,,33,110,385,234,1396
AUS,2007-11-24,2010-06-24,Gillard I,0,1,1,85,150,ALP,Australian Labor Party,Australian Labor Party,3.1,33,110,736,385,1253
AUS,2007-11-24,2010-06-24,Gillard I,0,0,0,53,150,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,110,736,385,1411
AUS,2007-11-24,2010-06-24,Gillard I,0,0,0,10,150,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,110,736,385,184
AUS,2007-11-24,2010-06-24,Gillard I,0,0,0,2,150,none,no party affiliation,no party affiliation,,33,110,736,385,1396
AUS,2010-08-21,2010-09-14,Gillard II,0,0,0,1,150,AG,Australian Greens,Australian Greens,1.29824563077,33,246,108,736,751
AUS,2010-08-21,2010-09-14,Gillard II,0,1,1,72,150,ALP,Australian Labor Party,Australian Labor Party,3.1,33,246,108,736,1253
AUS,2010-08-21,2010-09-14,Gillard II,0,0,0,1,150,CLP,Country Liberal Party,Country Liberal Party,,33,246,108,736,215
AUS,2010-08-21,2010-09-14,Gillard II,0,0,0,21,150,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,,33,246,108,736,154
AUS,2010-08-21,2010-09-14,Gillard II,0,0,0,44,150,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,246,108,736,1411
AUS,2010-08-21,2010-09-14,Gillard II,0,0,0,7,150,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,246,108,736,184
AUS,2010-08-21,2010-09-14,Gillard II,0,0,0,4,150,none,no party affiliation,no party affiliation,,33,246,108,736,1396
AUT,1945-10-25,1945-12-20,Figl I,0,1,0,4,165,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,0.5,59,402,133,452,769
AUT,1945-10-25,1945-12-20,Figl I,0,1,1,85,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,402,133,452,1013
AUT,1945-10-25,1945-12-20,Figl I,0,1,0,76,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,402,133,452,973
AUT,1945-10-25,1947-10-20,Figl II,0,0,0,4,165,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,0.5,59,402,884,133,769
AUT,1945-10-25,1947-10-20,Figl II,0,1,1,85,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,402,884,133,1013
AUT,1945-10-25,1947-10-20,Figl II,0,1,0,76,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,402,884,133,973
AUT,1949-10-09,1949-11-08,Figl III,0,0,0,16,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,67,775,884,50
AUT,1949-10-09,1949-11-08,Figl III,0,0,0,5,165,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,0.5,59,67,775,884,769
AUT,1949-10-09,1949-11-08,Figl III,0,1,1,77,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,67,775,884,1013
AUT,1949-10-09,1949-11-08,Figl III,0,1,0,67,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,67,775,884,973
AUT,1949-10-09,1952-10-28,Figl IV,0,0,0,16,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,67,560,775,50
AUT,1949-10-09,1952-10-28,Figl IV,0,0,0,5,165,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,0.5,59,67,560,775,769
AUT,1949-10-09,1952-10-28,Figl IV,0,1,1,77,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,67,560,775,1013
AUT,1949-10-09,1952-10-28,Figl IV,0,1,0,67,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,67,560,775,973
AUT,1953-02-22,1953-04-02,Raab I,0,0,0,14,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,11,659,560,50
AUT,1953-02-22,1953-04-02,Raab I,0,0,0,4,165,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,0.5,59,11,659,560,769
AUT,1953-02-22,1953-04-02,Raab I,0,1,1,74,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,11,659,560,1013
AUT,1953-02-22,1953-04-02,Raab I,0,1,0,73,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,11,659,560,973
AUT,1956-05-13,1956-06-29,Raab II,0,0,0,6,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,169,105,659,50
AUT,1956-05-13,1956-06-29,Raab II,0,0,0,3,165,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,0.5,59,169,105,659,769
AUT,1956-05-13,1956-06-29,Raab II,0,1,1,82,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,169,105,659,1013
AUT,1956-05-13,1956-06-29,Raab II,0,1,0,74,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,169,105,659,973
AUT,1959-05-10,1959-07-16,Raab III,0,0,0,8,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,347,114,105,50
AUT,1959-05-10,1959-07-16,Raab III,0,1,1,79,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,347,114,105,1013
AUT,1959-05-10,1959-07-16,Raab III,0,1,0,78,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,347,114,105,973
AUT,1959-05-10,1960-11-03,Raab IV,0,0,0,8,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,347,757,114,50
AUT,1959-05-10,1960-11-03,Raab IV,0,1,1,79,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,347,757,114,1013
AUT,1959-05-10,1960-11-03,Raab IV,0,1,0,78,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,347,757,114,973
AUT,1959-05-10,1961-04-11,Gorbach I,0,0,0,8,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,347,533,757,50
AUT,1959-05-10,1961-04-11,Gorbach I,0,1,1,79,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,347,533,757,1013
AUT,1959-05-10,1961-04-11,Gorbach I,0,1,0,78,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,347,533,757,973
AUT,1962-11-18,1962-11-18,Gorbach II,1,0,0,8,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,495,890,533,50
AUT,1962-11-18,1962-11-18,Gorbach II,1,1,1,81,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,495,890,533,1013
AUT,1962-11-18,1962-11-18,Gorbach II,1,1,0,76,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,495,890,533,973
AUT,1962-11-18,1963-03-27,Gorbach III,0,0,0,8,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,495,622,890,50
AUT,1962-11-18,1963-03-27,Gorbach III,0,1,1,81,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,495,622,890,1013
AUT,1962-11-18,1963-03-27,Gorbach III,0,1,0,76,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,495,622,890,973
AUT,1962-11-18,1964-04-02,Klaus I,0,0,0,8,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,495,483,622,50
AUT,1962-11-18,1964-04-02,Klaus I,0,1,1,81,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,495,483,622,1013
AUT,1962-11-18,1964-04-02,Klaus I,0,1,0,76,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,495,483,622,973
AUT,1966-03-06,1966-04-19,Klaus II,0,0,0,6,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,608,561,483,50
AUT,1966-03-06,1966-04-19,Klaus II,0,1,1,85,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,608,561,483,1013
AUT,1966-03-06,1966-04-19,Klaus II,0,0,0,74,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,608,561,483,973
AUT,1970-03-01,1970-04-21,Kreisky I,0,0,0,6,165,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,377,354,561,50
AUT,1970-03-01,1970-04-21,Kreisky I,0,0,0,78,165,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,377,354,561,1013
AUT,1970-03-01,1970-04-21,Kreisky I,0,1,1,81,165,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,377,354,561,973
AUT,1971-10-10,1971-11-04,Kreisky II,0,0,0,10,183,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,185,365,354,50
AUT,1971-10-10,1971-11-04,Kreisky II,0,0,0,80,183,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,185,365,354,1013
AUT,1971-10-10,1971-11-04,Kreisky II,0,1,1,93,183,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,185,365,354,973
AUT,1975-10-05,1975-10-28,Kreisky III,0,0,0,10,183,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,221,350,365,50
AUT,1975-10-05,1975-10-28,Kreisky III,0,0,0,80,183,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,221,350,365,1013
AUT,1975-10-05,1975-10-28,Kreisky III,0,1,1,93,183,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,221,350,365,973
AUT,1979-05-06,1979-06-05,Kreisky IV,0,0,0,11,183,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,452,463,350,50
AUT,1979-05-06,1979-06-05,Kreisky IV,0,0,0,77,183,OVP,Österreichische Volkspartei,Austrian People's Party,6.36666662852,59,452,463,350,1013
AUT,1979-05-06,1979-06-05,Kreisky IV,0,1,1,95,183,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.65933333333,59,452,463,350,973
AUT,1983-04-24,1983-05-24,Sinowatz,0,1,0,12,183,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,8.29555557463,59,456,702,463,50
